bowl_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,robot_world_x,robot_world_y,robot_world_z,robot_quat_x,robot_quat_y,robot_quat_z,robot_quat_w,robot_roll_rad,robot_pitch_rad,robot_yaw_rad,robot_to_object_yaw_rad,object_yaw_relative_to_robot_rad,object_yaw_relative_to_approach_rad,cut_normal_relative_to_robot_rad,cut_normal_relative_to_approach_rad,cut_normal_approach_abs_angle_rad,cut_normal_approach_parallel_score,cut_normal_approach_perpendicular_score,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,motion_approach_completed,motion_waypoint_count,motion_stopped_waypoint_index,motion_stopped_waypoint_fraction,motion_stopped_waypoint_x,motion_stopped_waypoint_y,motion_stopped_waypoint_z,motion_stopped_distance_m,motion_progress_note,execution_time_s,failure_count,failure_reasons
bowl_0001,pour,40627545-40f5-4298-8599-b2e94a4dbfb3,bowl_0001,910001,apartment,full_system,simple_pouring_action,False,,,,,,,none,True,True,ok,pour,primary_success,False,,False,False,False,True,tiago,success,RIGHT,jeroen_cup_right,primary,1,0,0,False,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,2.91442,3.758155,0.996814,map,0.0,0.0,0.0,0.0,,,,2.91442,3.758155,0.996814,0.0,0.0,0.781124,0.624376,0.0,-0.0,1.792927,,,,,,,,,,,,,,3.586454,3.698671,0.0985,0.0,0.0,0.997812,0.066123,0.0,-0.0,3.009251,,,,,,,,,simple_pour,,,0,False,2.0,0.0,0.0,2.867714838608957,3.964946620820304,1.126814,0.28704519045055,accepted_stagnant_after_raycast,12.8975,0,
bowl_0002,pour,40627545-40f5-4298-8599-b2e94a4dbfb3,bowl_0002,910001,apartment,full_system,simple_pouring_action,False,,,,,,,none,True,True,ok,pour,primary_success,False,,False,False,False,True,tiago,success,RIGHT,jeroen_cup_right,primary,1,0,0,False,False,False,,-0.111185,-0.114863,-0.051953,0.112268,0.107528,0.055447,0.223453,0.222391,0.1074,0.00533716,2.912442,2.814842,0.996814,map,0.0,0.0,0.0,0.0,,,,2.912442,2.814842,0.996814,0.0,0.0,0.731527,0.681813,0.0,-0.0,1.641116,,,,,,,,,,,,,,3.681548,2.778325,0.0985,0.0,0.0,0.997789,-0.066465,0.0,-0.0,-3.008566,,,,,,,,,simple_pour,,,0,False,2.0,0.0,0.0,2.8975466783252526,3.0263185251382057,1.126814,0.2958972526265435,accepted_stagnant_after_raycast,22.329,0,
bowl_0003,pour,40627545-40f5-4298-8599-b2e94a4dbfb3,bowl_0003,910001,apartment,full_system,simple_pouring_action,False,,,,,,,none,True,True,ok,pour,primary_success,False,,False,False,False,True,tiago,success,RIGHT,jeroen_cup_right,primary,1,0,0,False,False,False,,-0.111185,-0.114863,-0.051953,0.112268,0.107528,0.055447,0.223453,0.222391,0.1074,0.00533716,2.743024,2.442402,0.996814,map,0.0,0.0,0.0,0.0,,,,2.743024,2.442402,0.996814,0.0,0.0,0.921337,-0.388765,0.0,-0.0,-2.343011,,,,,,,,,,,,,,1.767077,2.415993,0.0985,0.0,0.0,0.174665,0.984628,0.0,-0.0,0.351131,,,,,,,,,simple_pour,,,0,False,2.0,0.0,0.0,2.5951071242573795,2.290532202175727,1.126814,0.2885719521787976,accepted_stagnant_after_raycast,34.5576,0,
bowl_0004,pour,40627545-40f5-4298-8599-b2e94a4dbfb3,bowl_0004,910001,apartment,full_system,simple_pouring_action,False,,,,,,,none,True,True,ok,pour,primary_success,False,,False,False,False,True,tiago,success,RIGHT,jeroen_cup_right,primary,1,0,0,False,False,False,,-0.111185,-0.114863,-0.051953,0.112268,0.107528,0.055447,0.223453,0.222391,0.1074,0.00533716,2.7523,1.879864,0.996814,map,0.0,0.0,0.0,0.0,,,,2.7523,1.879864,0.996814,0.0,0.0,0.436627,0.899643,0.0,-0.0,0.903692,,,,,,,,,,,,,,1.765767,1.846862,0.0985,0.0,0.0,0.173417,0.984849,0.0,-0.0,0.348595,,,,,,,,,simple_pour,,,0,False,2.0,0.0,0.0,2.621132528093842,1.7133136089709189,1.126814,0.3445722218711053,accepted_stagnant_after_raycast,37.5075,0,
bowl_0005,pour,40627545-40f5-4298-8599-b2e94a4dbfb3,bowl_0005,910001,apartment,full_system,simple_pouring_action,False,,,,,,,none,True,True,ok,pour,primary_success,False,,False,False,False,True,tiago,success,RIGHT,jeroen_cup_right,primary,1,0,0,False,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,2.750103,4.031462,0.996814,map,0.0,0.0,0.0,0.0,,,,2.750103,4.031462,0.996814,0.0,0.0,-0.309452,0.950915,0.0,-0.0,-0.629234,,,,,,,,,,,,,,2.740293,4.681736,0.0985,0.0,0.0,0.909067,-0.41665,0.0,-0.0,-2.282079,,,,,,,,,simple_pour,,,0,False,2.0,0.0,0.0,2.57870538868156,4.156229782401807,1.126814,0.1192710944531343,accepted_stagnant_after_raycast,36.7269,0,
bowl_0006,pour,40627545-40f5-4298-8599-b2e94a4dbfb3,bowl_0006,910001,apartment,full_system,simple_pouring_action,False,,,,,,,none,True,True,ok,pour,primary_success,False,,False,False,False,True,tiago,success,RIGHT,jeroen_cup_right,primary,1,0,0,False,False,False,,-0.111185,-0.114863,-0.051953,0.112268,0.107528,0.055447,0.223453,0.222391,0.1074,0.00533716,2.587137,3.676467,0.996814,map,0.0,0.0,0.0,0.0,,,,2.587137,3.676467,0.996814,0.0,0.0,-0.853437,0.521196,0.0,-0.0,-2.045089,,,,,,,,,,,,,,1.620365,3.704406,0.0985,0.0,0.0,0.185085,0.982723,0.0,-0.0,0.372317,,,,,,,,,simple_pour,,,0,False,2.0,0.0,0.0,2.490314622619373,3.487868165057562,1.126814,0.2618711770029103,accepted_stagnant_after_raycast,38.0297,0,
bowl_0007,pour,40627545-40f5-4298-8599-b2e94a4dbfb3,bowl_0007,910001,apartment,full_system,simple_pouring_action,False,,,,,,,none,True,True,ok,pour,primary_success,False,,False,False,False,True,tiago,success,RIGHT,jeroen_cup_right,primary,1,0,0,False,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,2.753157,3.123321,0.996814,map,0.0,0.0,0.0,0.0,,,,2.753157,3.123321,0.996814,0.0,0.0,0.994921,-0.100663,0.0,-0.0,-2.939925,,,,,,,,,,,,,,1.894594,3.10806,0.0985,0.0,0.0,0.090011,0.995941,0.0,-0.0,0.180265,,,,,,,,,simple_pour,,,0,False,2.0,0.0,0.0,2.795621522851928,2.915616931034173,1.126814,0.5192762444753145,accepted_stagnant_after_raycast,36.3693,0,
bowl_0008,pour,40627545-40f5-4298-8599-b2e94a4dbfb3,bowl_0008,910001,apartment,full_system,simple_pouring_action,False,,,,,,,none,True,True,ok,pour,primary_success,False,,False,False,False,True,tiago,success,RIGHT,jeroen_cup_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,2.585071,2.790513,0.996814,map,0.0,0.0,0.0,0.0,,,,2.585071,2.790513,0.996814,0.0,0.0,0.049534,0.998772,0.0,-0.0,0.099109,,,,,,,,,,,,,,1.686381,2.778356,0.0985,0.0,0.0,0.157267,0.987556,0.0,-0.0,0.315846,,,,,,,,,simple_pour,,,0,True,2.0,0.0,0.0,2.606047959946195,2.579553198511668,1.126814,0.3019725050327064,completed,23.4963,0,
bowl_0009,pour,40627545-40f5-4298-8599-b2e94a4dbfb3,bowl_0009,910001,apartment,full_system,simple_pouring_action,False,,,,,,,none,True,True,ok,pour,primary_success,False,,False,False,False,True,tiago,success,RIGHT,jeroen_cup_right,primary,1,0,0,False,False,False,,-0.097287,-0.100505,-0.045459,0.098234,0.094087,0.048516,0.195521,0.194592,0.093975,0.00357548,2.588478,1.490513,0.996814,map,0.0,0.0,0.0,0.0,,,,2.588478,1.490513,0.996814,0.0,0.0,0.921617,0.388101,0.0,-0.0,2.344453,,,,,,,,,,,,,,1.755247,0.730343,0.0985,0.0,0.0,0.858124,0.513443,0.0,-0.0,2.063208,,,,,,,,,simple_pour,,,0,False,2.0,0.0,0.0,2.7366142668659523,1.338856745117778,1.126814,0.4629665521441053,accepted_stagnant_after_raycast,46.231,0,
bowl_0010,pour,40627545-40f5-4298-8599-b2e94a4dbfb3,bowl_0010,910001,apartment,full_system,simple_pouring_action,False,,,,,,,none,True,True,ok,pour,primary_success,False,,False,False,False,True,tiago,success,RIGHT,jeroen_cup_right,primary,1,0,0,False,False,False,,-0.097287,-0.100505,-0.045459,0.098234,0.094087,0.048516,0.195521,0.194592,0.093975,0.00357548,0.309509,3.252413,0.9705,map,0.0,0.0,0.0,0.0,,,,0.309509,3.252413,0.9705,0.0,0.0,-0.364632,0.931152,0.0,-0.0,-0.746474,,,,,,,,,,,,,,-0.529639,3.186693,0.0985,0.0,0.0,0.241194,0.970477,0.0,-0.0,0.487191,,,,,,,,,simple_pour,,,0,False,2.0,0.0,0.0,0.1655488826289774,3.096786176465447,1.10050006,0.2186380634923797,accepted_stagnant_after_raycast,38.5758,0,
